,clipname,id,bestframe,category,pcd_pillar
70409,S_Clip_13565_13,1,24,TUNNEL,21211
69203,S_Clip_13458_13,1,30,TUNNEL,20846
67177,S_Clip_10371_13,1,29,TUNNEL,20209
72057,S_Clip_14043_13,1,30,TUNNEL,19770
67448,S_Clip_10413_13,1,30,TUNNEL,18757
68961,S_Clip_13427_13,1,30,TUNNEL,18632
159360,S_Clip_58311_13,1,46,TUNNEL,18308
72830,S_Clip_15434_13,1,30,TUNNEL,18181
69173,S_Clip_13450_13,1,30,TUNNEL,17134
71073,S_Clip_13652_13,1,30,TUNNEL,16986
68645,S_Clip_10619_13,1,30,TUNNEL,16847
71331,S_Clip_13682_13,4,28,TUNNEL,16501
67718,S_Clip_10453_13,2,30,TUNNEL,16223
135635,S_Clip_46896_13,1,57,TUNNEL,16084
53733,A_Clip_24975_13,1,47,TUNNEL,16056
71273,S_Clip_13671_13,1,30,TUNNEL,15902
156755,S_Clip_57966_13,1,40,TUNNEL,15765
135833,S_Clip_46904_13,1,48,TUNNEL,15699
95204,S_Clip_34802_13,1,46,TUNNEL,15365
135525,S_Clip_46883_13,1,52,TUNNEL,15296
158580,S_Clip_58264_13,1,41,TUNNEL,15190
71174,S_Clip_13659_13,1,28,TUNNEL,15162
95506,S_Clip_34824_13,1,46,TUNNEL,15010
67838,S_Clip_10461_13,1,30,TUNNEL,14860
67028,S_Clip_10349_13,1,30,TUNNEL,14849
95301,S_Clip_34807_13,1,51,TUNNEL,14845
104884,S_Clip_36334_13,1,31,TUNNEL,14741
153233,S_Clip_55952_13,1,37,TUNNEL,14711
97271,S_Clip_35127_13,1,41,TUNNEL,14676
70618,S_Clip_13595_13,2,29,TUNNEL,14636
153751,S_Clip_55981_13,1,44,TUNNEL,14602
70799,S_Clip_13619_13,1,26,TUNNEL,14542
71012,S_Clip_13641_13,1,29,TUNNEL,14395
113043,S_Clip_39368_13,1,30,TUNNEL,14310
69053,S_Clip_13439_13,2,30,TUNNEL,14240
142772,S_Clip_48362_13,3,49,TUNNEL,14018
68795,S_Clip_10635_13,1,30,TUNNEL,13911
77043,S_Clip_30113_13,1,30,TUNNEL,13794
74929,S_Clip_29369_13,1,30,TUNNEL,13644
71206,S_Clip_13664_13,1,30,TUNNEL,13458
149323,S_Clip_51134_13,4,41,TUNNEL,13425
150845,S_Clip_52385_13,1,46,TUNNEL,13402
137035,S_Clip_47194_13,1,49,TUNNEL,13371
131555,S_Clip_45437_13,3,49,TUNNEL,13301
131246,S_Clip_45424_13,4,47,TUNNEL,13258
76804,S_Clip_30078_13,3,30,TUNNEL,13209
83226,S_Clip_32353_13,1,30,TUNNEL,13185
97317,S_Clip_35130_13,1,46,TUNNEL,13158
72740,S_Clip_15419_13,1,30,TUNNEL,13157
100293,S_Clip_35815_13,1,46,TUNNEL,13107
70953,S_Clip_13633_13,1,30,TUNNEL,13054
113843,S_Clip_39540_13,1,31,TUNNEL,12922
126101,S_Clip_42789_13,1,46,TUNNEL,12881
70588,S_Clip_13590_13,1,30,TUNNEL,12814
85516,S_Clip_32514_13,2,30,TUNNEL,12806
73786,S_Clip_28053_13,1,30,TUNNEL,12793
150950,S_Clip_55799_13,4,50,TUNNEL,12779
150898,S_Clip_55798_13,3,53,TUNNEL,12724
95732,S_Clip_34860_13,1,55,TUNNEL,12708
98605,S_Clip_35654_13,1,41,TUNNEL,12647
94697,S_Clip_34733_13,1,55,TUNNEL,12531
69388,S_Clip_13475_13,1,30,TUNNEL,12499
142124,S_Clip_48241_13,3,31,TUNNEL,12402
70529,S_Clip_13580_13,2,30,TUNNEL,12331
131353,S_Clip_45431_13,4,56,TUNNEL,12170
97089,S_Clip_35104_13,1,36,TUNNEL,12108
71605,S_Clip_13708_13,7,28,TUNNEL,12087
158619,S_Clip_58266_13,3,39,TUNNEL,12083
136835,S_Clip_47188_13,1,56,TUNNEL,12081
158817,S_Clip_58273_13,1,39,TUNNEL,12067
87104,S_Clip_32764_13,1,30,TUNNEL,12046
60560,S_Clip_06130_11,6,97,TUNNEL,12045
36793,A_Clip_22359_13,6,58,TUNNEL,11998
72267,S_Clip_14218_13,1,29,TUNNEL,11951
88003,S_Clip_32912_13,1,30,TUNNEL,11925
70030,S_Clip_13544_13,1,30,TUNNEL,11898
136779,S_Clip_47181_13,1,60,TUNNEL,11861
116661,S_Clip_39958_13,2,41,TUNNEL,11819
138174,S_Clip_47374_13,1,56,TUNNEL,11756
85260,S_Clip_32507_13,1,30,TUNNEL,11747
152545,S_Clip_55895_13,1,40,TUNNEL,11709
154367,S_Clip_57804_13,1,36,TUNNEL,11699
94642,S_Clip_34730_13,2,31,TUNNEL,11563
97128,S_Clip_35107_13,1,39,TUNNEL,11554
70207,S_Clip_13551_13,1,30,TUNNEL,11516
37423,A_Clip_22384_13,1,40,TUNNEL,11505
71877,S_Clip_14022_13,1,30,TUNNEL,11427
152697,S_Clip_55911_13,1,52,TUNNEL,11379
86416,S_Clip_32595_13,1,30,TUNNEL,11351
146149,S_Clip_48828_13,1,57,TUNNEL,11345
95934,S_Clip_34885_13,1,41,TUNNEL,11342
149904,S_Clip_51225_13,1,100,TUNNEL,11309
148715,S_Clip_49786_13,1,46,TUNNEL,11289
37892,A_Clip_22408_13,1,47,TUNNEL,11271
145515,S_Clip_48767_13,4,59,TUNNEL,11233
96336,S_Clip_34990_13,1,46,TUNNEL,11219
137065,S_Clip_47195_13,1,30,TUNNEL,11127
74959,S_Clip_29370_13,1,30,TUNNEL,11068
99702,S_Clip_35767_13,1,60,TUNNEL,11056
96950,S_Clip_35074_13,1,41,TUNNEL,11049
130443,S_Clip_44315_13,1,65,TUNNEL,11046
91442,S_Clip_33866_13,1,39,TUNNEL,11005
156684,S_Clip_57964_13,1,31,TUNNEL,10977
152592,S_Clip_55908_13,1,47,TUNNEL,10910
98214,S_Clip_35304_13,1,46,TUNNEL,10884
86326,S_Clip_32590_13,1,30,TUNNEL,10879
82986,S_Clip_32326_13,1,30,TUNNEL,10834
74579,S_Clip_28955_13,1,30,TUNNEL,10771
142926,S_Clip_48367_13,4,36,TUNNEL,10730
137892,S_Clip_47354_13,1,41,TUNNEL,10717
154580,S_Clip_57824_13,1,30,TUNNEL,10667
143963,S_Clip_48592_13,1,48,TUNNEL,10655
125194,S_Clip_41916_13,1,41,TUNNEL,10623
146001,S_Clip_48812_13,1,50,TUNNEL,10584
137161,S_Clip_47208_13,1,48,TUNNEL,10576
131297,S_Clip_45425_13,4,49,TUNNEL,10553
152192,S_Clip_55875_13,1,45,TUNNEL,10548
111199,S_Clip_38287_13,1,49,TUNNEL,10525
152789,S_Clip_55913_13,1,47,TUNNEL,10522
104946,S_Clip_36339_13,1,31,TUNNEL,10500
152101,S_Clip_55873_13,3,43,TUNNEL,10480
115187,S_Clip_39773_13,4,71,TUNNEL,10455
151474,S_Clip_55836_13,1,46,TUNNEL,10422
76383,S_Clip_29914_13,1,30,TUNNEL,10377
143863,S_Clip_48584_13,1,52,TUNNEL,10311
52837,A_Clip_24935_13,1,42,TUNNEL,10306
53850,A_Clip_24979_13,1,43,TUNNEL,10273
119919,S_Clip_41182_13,1,60,TUNNEL,10248
70893,S_Clip_13627_13,1,30,TUNNEL,10196
95117,S_Clip_34796_13,1,51,TUNNEL,10189
68225,S_Clip_10568_13,1,30,TUNNEL,10187
147679,S_Clip_49029_13,3,40,TUNNEL,10177
97179,S_Clip_35118_13,1,49,TUNNEL,10172
118804,S_Clip_40300_13,1,49,TUNNEL,10155
71757,S_Clip_13750_13,1,30,TUNNEL,10150
75746,S_Clip_29831_13,1,30,TUNNEL,10132
101405,S_Clip_36054_13,1,31,TUNNEL,10128
137636,S_Clip_47259_13,1,50,TUNNEL,10113
97725,S_Clip_35217_13,3,39,TUNNEL,10101
104853,S_Clip_36330_13,1,31,TUNNEL,10054
151574,S_Clip_55845_13,1,50,TUNNEL,10052
136940,S_Clip_47191_13,1,49,TUNNEL,10045
112380,S_Clip_38383_13,5,47,TUNNEL,10005
137210,S_Clip_47210_13,1,48,TUNNEL,9997
138068,S_Clip_47371_13,1,59,TUNNEL,9993
67208,S_Clip_10387_13,1,30,TUNNEL,9987
1642,A_Clip_03231_13,1,30,TUNNEL,9980
145187,S_Clip_48690_13,1,50,TUNNEL,9978
77167,S_Clip_30116_13,1,30,TUNNEL,9969
97609,S_Clip_35174_13,1,44,TUNNEL,9924
96435,S_Clip_35002_13,1,49,TUNNEL,9897
95634,S_Clip_34841_13,1,49,TUNNEL,9874
98079,S_Clip_35281_13,1,45,TUNNEL,9846
150617,S_Clip_52317_13,3,48,TUNNEL,9840
127424,S_Clip_43079_13,2,46,TUNNEL,9825
143810,S_Clip_48525_13,1,46,TUNNEL,9800
86386,S_Clip_32592_13,1,30,TUNNEL,9743
137682,S_Clip_47260_13,1,44,TUNNEL,9734
101673,S_Clip_36133_13,1,35,TUNNEL,9726
95460,S_Clip_34816_13,1,41,TUNNEL,9664
153972,S_Clip_55990_13,1,46,TUNNEL,9626
100683,S_Clip_35843_13,1,41,TUNNEL,9625
107249,S_Clip_36723_13,1,48,TUNNEL,9601
53551,A_Clip_24968_13,1,43,TUNNEL,9578
156585,S_Clip_57950_13,1,37,TUNNEL,9569
127752,S_Clip_43116_13,1,47,TUNNEL,9554
98356,S_Clip_35325_13,1,41,TUNNEL,9542
81775,S_Clip_31315_13,3,30,TUNNEL,9540
130564,S_Clip_44321_13,1,74,TUNNEL,9478
144264,S_Clip_48605_13,1,56,TUNNEL,9469
151524,S_Clip_55843_13,2,50,TUNNEL,9457
96075,S_Clip_34936_13,1,41,TUNNEL,9448
112331,S_Clip_38382_13,1,54,TUNNEL,9422
53311,A_Clip_24957_13,1,43,TUNNEL,9421
148229,S_Clip_49124_13,1,46,TUNNEL,9419
137851,S_Clip_47353_13,1,55,TUNNEL,9402
132130,S_Clip_45533_13,1,52,TUNNEL,9380
90750,S_Clip_33712_13,1,45,TUNNEL,9357
124919,S_Clip_41894_13,1,43,TUNNEL,9355
43618,A_Clip_22963_13,1,35,TUNNEL,9319
97645,S_Clip_35203_13,3,36,TUNNEL,9311
131464,S_Clip_45434_13,3,49,TUNNEL,9308
69465,S_Clip_13487_13,1,27,TUNNEL,9281
153883,S_Clip_55986_13,1,45,TUNNEL,9275
74609,S_Clip_29250_13,1,30,TUNNEL,9275
152505,S_Clip_55894_13,1,41,TUNNEL,9274
66998,S_Clip_10344_13,1,30,TUNNEL,9265
152009,S_Clip_55871_13,3,47,TUNNEL,9251
128955,S_Clip_43290_13,2,51,TUNNEL,9237
138362,S_Clip_47389_13,1,59,TUNNEL,9223
108898,S_Clip_37740_13,1,40,TUNNEL,9177
84833,S_Clip_32486_13,1,30,TUNNEL,9168
153603,S_Clip_55972_13,1,47,TUNNEL,9164
145614,S_Clip_48780_13,2,50,TUNNEL,9144
59640,A_Clip_26845_13,1,39,TUNNEL,9142
101534,S_Clip_36109_13,2,31,TUNNEL,9082
146255,S_Clip_48840_13,1,52,TUNNEL,9080
138514,S_Clip_47409_13,1,39,TUNNEL,9063
78756,S_Clip_30900_13,1,30,TUNNEL,9061
123883,S_Clip_41656_13,1,46,TUNNEL,9057
155317,S_Clip_57886_13,1,39,TUNNEL,9036
98127,S_Clip_35284_13,1,46,TUNNEL,9023
112079,S_Clip_38360_13,9,46,TUNNEL,9014
137274,S_Clip_47223_13,1,64,TUNNEL,8982
138475,S_Clip_47407_13,1,39,TUNNEL,8973
96688,S_Clip_35031_13,1,48,TUNNEL,8966
91940,S_Clip_34205_13,1,39,TUNNEL,8953
152877,S_Clip_55915_13,1,43,TUNNEL,8948
146463,S_Clip_48856_13,1,49,TUNNEL,8933
120501,S_Clip_41267_13,1,30,TUNNEL,8919
130962,S_Clip_44393_13,1,49,TUNNEL,8861
147981,S_Clip_49105_13,1,41,TUNNEL,8837
159666,S_Clip_58363_13,2,43,TUNNEL,8822
124183,S_Clip_41803_13,1,45,TUNNEL,8820
137386,S_Clip_47241_13,1,55,TUNNEL,8820
157008,S_Clip_58172_13,1,31,TUNNEL,8806
77320,S_Clip_30144_13,1,30,TUNNEL,8793
74108,S_Clip_28255_13,1,30,TUNNEL,8781
154408,S_Clip_57817_13,1,41,TUNNEL,8775
128719,S_Clip_43273_13,1,44,TUNNEL,8737
90991,S_Clip_33826_13,1,33,TUNNEL,8733
